run,model,adaptation,train_examples,eval_examples,overall,number,other,yes_no,false_yes,false_no,invalid_yes_no
E0,BLIP-2 Flan-T5-XL,Zero-shot,0,1000,59.76,44.26,45.75,82.68,19.59,34.04,0.52
E1,BLIP-2 Flan-T5-XL,Q-Former LoRA r8,1000,1000,61.98,51.83,49.30,81.56,17.53,38.83,0.52
E2,BLIP-2 Flan-T5-XL,LLM LoRA r8,1000,1000,65.17,55.48,53.87,82.81,15.38,38.30,0.26
E3,InstructBLIP Flan-T5-XL,Zero-shot default prompt,0,1000,67.51,59.74,56.49,84.22,18.68,21.55,5.47
E3b,InstructBLIP Flan-T5-XL,Zero-shot short prompt,0,1000,70.36,63.83,61.28,84.17,16.49,28.49,4.43
E4,BLIP-2 Flan-T5-XL,Dual Q-Former+LLM LoRA r8,1000,1000,65.15,54.96,54.23,82.45,15.38,38.83,0.26
E5,InstructBLIP Flan-T5-XL,LLM LoRA r8,1000,1000,70.54,65.30,61.54,83.85,15.26,31.07,4.43
E6,InstructBLIP Flan-T5-XL,LLM LoRA r8,10000,1000,71.29,62.52,63.19,84.48,18.85,26.26,3.65
E15,InstructBLIP Flan-T5-XL,E6 full validation,10000,214354,70.61,52.32,63.64,86.14,19.89,20.61,3.37
E19,InstructBLIP Flan-T5-XL,E6 plus short-answer rerank,10000,214354,71.62,52.32,63.62,88.86,20.21,20.57,0.22
